long,short,timestamp,latest_total_fees
,,2024-07-03 23:06:28.379704,
,,2024-07-04 12:21:53.038387,
,,2024-07-04 12:22:02.984228,
,,2024-07-04 12:22:15.960851,626071976986.3099
,,2024-07-04 12:23:28.737472,
,,2024-07-04 12:23:49.257345,
,,2024-07-04 12:30:43.810024,
,,2024-07-04 12:31:01.509668,
,,2024-07-04 12:31:22.398372,626071977022.738
,,2024-07-04 12:34:05.222013,
,,2024-07-04 12:34:41.832713,
,,2024-07-04 12:41:34.887252,
,,2024-07-04 12:41:45.541319,
,,2024-07-04 12:41:59.224184,626071995336.5123
,,2024-07-04 12:43:13.742748,
,,2024-07-04 12:43:35.343134,
,,2024-07-04 12:54:40.978932,
,,2024-07-04 12:54:52.050124,
,,2024-07-04 12:55:04.711760,626071995951.773
,,2024-07-04 12:56:20.437265,
,,2024-07-04 12:56:41.047219,
,,2024-07-04 13:01:49.450317,
,,2024-07-04 13:01:59.382614,
,,2024-07-04 13:02:12.573123,626071995248.187
,,2024-07-04 13:02:33.317685,
,,2024-07-04 13:02:55.184147,
,,2024-07-04 13:17:50.765199,
,,2024-07-04 13:18:02.271020,
,,2024-07-04 13:18:17.025010,626071995137.8374
,,2024-07-04 13:18:39.348002,
,,2024-07-04 13:19:01.003776,
,,2024-07-04 13:41:22.478270,
,,2024-07-04 13:41:32.187894,
,,2024-07-04 13:41:45.230784,626071996038.1686
,,2024-07-04 13:42:06.720724,
,,2024-07-04 13:42:27.973780,
,,2024-07-04 13:59:09.099655,
,,2024-07-04 13:59:19.899927,
,,2024-07-04 13:59:32.503856,683985270276.4775
,,2024-07-04 13:59:54.126355,
,,2024-07-04 14:00:14.982624,
,,2024-07-04 14:02:47.297560,
,,2024-07-04 14:02:57.835367,
,,2024-07-04 14:03:10.338742,683985271176.528
,,2024-07-04 14:03:30.707647,
,,2024-07-04 14:03:50.755271,
,,2024-07-04 14:09:56.752520,
,,2024-07-04 14:10:07.624786,
,,2024-07-04 14:10:22.792634,683985287786.15
,,2024-07-04 14:10:32.253471,
,,2024-07-04 14:10:51.159290,
,,2024-07-04 14:12:40.244310,
,,2024-07-04 14:12:50.654215,
,,2024-07-04 14:13:03.498295,683985297907.3444
,,2024-07-04 14:13:25.903043,
,,2024-07-04 14:13:47.994687,
,,2024-07-04 14:23:54.879078,
,,2024-07-04 14:24:05.472105,
,,2024-07-04 14:24:20.390974,687978966328.1312
,,2024-07-04 14:24:40.831575,
,,2024-07-04 14:25:03.264185,
,,2024-07-04 14:28:42.457979,
,,2024-07-04 14:28:53.010439,
,,2024-07-04 14:29:09.905606,697082083198.0074
,,2024-07-04 14:29:31.978648,
,,2024-07-04 14:29:52.283750,
,,2024-07-08 09:58:11.101871,
,,2024-07-08 09:58:21.450504,
,,2024-07-08 09:58:34.233223,1945825471448.0632
,,2024-07-08 09:58:55.042695,
,,2024-07-08 09:59:15.525723,
,,2024-07-08 10:03:14.644025,
,,2024-07-08 10:03:25.015163,
,,2024-07-08 10:03:46.143857,
,,2024-07-08 10:03:57.605100,
,,2024-07-08 10:08:16.375897,
,,2024-07-08 10:08:27.096772,
,,2024-07-08 10:08:48.961495,
,,2024-07-08 10:09:00.082787,
,,2024-07-08 10:11:23.935958,
,,2024-07-08 10:11:33.847528,
,,2024-07-08 10:11:55.659603,
,,2024-07-08 10:12:58.899327,
,,2024-07-08 10:13:09.763849,
,,2024-07-08 10:14:46.788437,
,,2024-07-08 10:14:57.981962,
,,2024-07-08 10:21:17.698626,
,,2024-07-08 10:38:34.806997,
,,2024-07-08 10:40:03.289646,
,,2024-07-08 10:43:00.341213,
,,2024-07-08 10:43:10.830122,
,,2024-07-08 10:43:31.443716,
,,2024-07-08 10:43:42.710442,
,,2024-07-08 11:33:17.166906,
,,2024-07-08 11:33:28.634843,
,,2024-07-08 11:33:51.156870,
,,2024-07-08 11:34:02.772609,
,,2024-07-08 11:44:38.164928,
,,2024-07-08 11:56:16.098851,
